sa2_name,area_band,year,population
Melbourne CBD - North,Inner Melbourne,2021,17360
Melbourne CBD - North,Inner Melbourne,2022,18774
Melbourne CBD - North,Inner Melbourne,2023,21527
Melbourne CBD - North,Inner Melbourne,2024,23395
Melbourne CBD - North,Inner Melbourne,2025,24296
Carlton,Inner Melbourne,2021,17064
Carlton,Inner Melbourne,2022,17942
Carlton,Inner Melbourne,2023,21321
Carlton,Inner Melbourne,2024,23758
Carlton,Inner Melbourne,2025,25267
Cranbourne East - South,Outer / growth corridor,2021,12450
Cranbourne East - South,Outer / growth corridor,2022,13633
Cranbourne East - South,Outer / growth corridor,2023,14425
Cranbourne East - South,Outer / growth corridor,2024,15055
Cranbourne East - South,Outer / growth corridor,2025,15590
Tarneit - North,Outer / growth corridor,2021,7340
Tarneit - North,Outer / growth corridor,2022,9368
Tarneit - North,Outer / growth corridor,2023,11142
Tarneit - North,Outer / growth corridor,2024,13406
Tarneit - North,Outer / growth corridor,2025,15880
Wollert,Middle ring,2021,24807
Wollert,Middle ring,2022,28188
Wollert,Middle ring,2023,30686
Wollert,Middle ring,2024,33491
Wollert,Middle ring,2025,36658
Cobblebank - Strathtulloh,Outer / growth corridor,2021,7715
Cobblebank - Strathtulloh,Outer / growth corridor,2022,8835
Cobblebank - Strathtulloh,Outer / growth corridor,2023,10197
Cobblebank - Strathtulloh,Outer / growth corridor,2024,11697
Cobblebank - Strathtulloh,Outer / growth corridor,2025,12885
Tarneit (West) - Mount Cottrell,Outer / growth corridor,2021,10316
Tarneit (West) - Mount Cottrell,Outer / growth corridor,2022,13015
Tarneit (West) - Mount Cottrell,Outer / growth corridor,2023,15199
Tarneit (West) - Mount Cottrell,Outer / growth corridor,2024,17068
Tarneit (West) - Mount Cottrell,Outer / growth corridor,2025,19169
Fraser Rise - Plumpton,Outer / growth corridor,2021,10239
Fraser Rise - Plumpton,Outer / growth corridor,2022,12954
Fraser Rise - Plumpton,Outer / growth corridor,2023,16374
Fraser Rise - Plumpton,Outer / growth corridor,2024,20675
Fraser Rise - Plumpton,Outer / growth corridor,2025,24739
